structure, operation, time(ns)
bst, put, 1204138
bst, delete, 8214
avl, put, 1552366
avl, delete, 1367756
splay, put, 15517
splay, delete, 43784
veb, put, 2143301
veb, delete, 2027406
bst, put, 1306349
bst, delete, 5939
avl, put, 1473598
avl, delete, 1460445
splay, put, 11005
splay, delete, 36049
veb, put, 1967126
veb, delete, 2127276
bst, put, 1105779
bst, delete, 4709
avl, put, 1424343
avl, delete, 1544121
splay, put, 13006
splay, delete, 43603
veb, put, 2107417
veb, delete, 2008648
bst, put, 1206764
bst, delete, 5613
avl, put, 1391544
avl, delete, 1312684
splay, put, 12695
splay, delete, 41167
veb, put, 1999098
veb, delete, 1897687
bst, put, 1116333
bst, delete, 5528
avl, put, 1435571
avl, delete, 1457641
splay, put, 10834
splay, delete, 34660
veb, put, 1739933
veb, delete, 2055825
bst, put, 1158571
bst, delete, 4685
avl, put, 1337268
avl, delete, 1404265
splay, put, 12609
splay, delete, 41905
veb, put, 1962023
veb, delete, 1968082
bst, put, 1220089
bst, delete, 5581
avl, put, 1457546
avl, delete, 1339656
splay, put, 10765
splay, delete, 34296
veb, put, 1788453
veb, delete, 2094751
bst, put, 1145016
bst, delete, 5589
avl, put, 1400218
avl, delete, 1452806
splay, put, 11133
splay, delete, 35692
veb, put, 1912571
veb, delete, 1865718
bst, put, 1156809
bst, delete, 4854
avl, put, 1497801
avl, delete, 1484753
splay, put, 11555
splay, delete, 34490
veb, put, 1895874
veb, delete, 2014621
bst, put, 1021855
bst, delete, 4805
avl, put, 1420025
avl, delete, 1508031
splay, put, 13413
splay, delete, 40725
veb, put, 2063686
veb, delete, 2013153
bst, put, 1139319
bst, delete, 5301
avl, put, 1466139
avl, delete, 1365916
splay, put, 11738
splay, delete, 35653
veb, put, 1523962
veb, delete, 1922141
bst, put, 1200563
bst, delete, 4566
avl, put, 1475166
avl, delete, 1460005
splay, put, 11490
splay, delete, 35127
veb, put, 1273928
veb, delete, 2065642
bst, put, 1205609
bst, delete, 5546
avl, put, 1624237
avl, delete, 1579294
splay, put, 16780
splay, delete, 41903
veb, put, 1487590
veb, delete, 1889699
bst, put, 1015251
bst, delete, 4706
avl, put, 1523917
avl, delete, 1482768
splay, put, 11560
splay, delete, 48050
veb, put, 1412053
veb, delete, 2016803
bst, put, 1126897
bst, delete, 5531
avl, put, 1367812
avl, delete, 1313167
splay, put, 11483
splay, delete, 35677
veb, put, 1438588
veb, delete, 2011844
bst, put, 1020529
bst, delete, 4497
avl, put, 1450928
avl, delete, 1466754
splay, put, 13022
splay, delete, 40622
veb, put, 1309229
veb, delete, 1903640
bst, put, 1117441
bst, delete, 4665
avl, put, 1491657
avl, delete, 1289364
splay, put, 11595
splay, delete, 35466
veb, put, 1382359
veb, delete, 2089384
bst, put, 1218530
bst, delete, 5637
avl, put, 1575850
avl, delete, 1375479
splay, put, 13561
splay, delete, 42147
veb, put, 1495807
veb, delete, 1908086
bst, put, 1162479
bst, delete, 4703
avl, put, 1526081
avl, delete, 1335635
splay, put, 11281
splay, delete, 35947
veb, put, 1442703
veb, delete, 2014578
bst, put, 1026306
bst, delete, 4743
avl, put, 1368914
avl, delete, 1501337
splay, put, 11756
splay, delete, 35114
veb, put, 1436613
veb, delete, 1912904
bst, put, 1125567
bst, delete, 4628
avl, put, 1504520
avl, delete, 1347778
splay, put, 13855
splay, delete, 36073
veb, put, 1511639
veb, delete, 2189262
bst, put, 1125559
bst, delete, 4704
avl, put, 1468332
avl, delete, 1365659
splay, put, 13371
splay, delete, 42380
veb, put, 1395444
veb, delete, 1847124
bst, put, 1280188
bst, delete, 5571
avl, put, 1563569
avl, delete, 1540896
splay, put, 13406
splay, delete, 41569
veb, put, 1508003
veb, delete, 2181438
bst, put, 1253679
bst, delete, 5629
avl, put, 1594659
avl, delete, 1565956
splay, put, 13413
splay, delete, 41312
veb, put, 1505867
veb, delete, 2197363
bst, put, 1252761
bst, delete, 5564
avl, put, 1573182
avl, delete, 1552597
splay, put, 13619
splay, delete, 42298
veb, put, 1513934
veb, delete, 2190124
bst, put, 1601080
bst, delete, 7679
avl, put, 2192669
avl, delete, 2173851
splay, put, 22108
splay, delete, 54419
veb, put, 1570524
veb, delete, 2289537
bst, put, 1353102
bst, delete, 5686
avl, put, 1637279
avl, delete, 1556504
splay, put, 12187
splay, delete, 36522
veb, put, 1268657
veb, delete, 2039068
bst, put, 1210966
bst, delete, 4516
avl, put, 1522479
avl, delete, 1327875
splay, put, 15814
splay, delete, 35753
veb, put, 1290507
veb, delete, 1995136
bst, put, 1045004
bst, delete, 4539
avl, put, 1599283
avl, delete, 2192937
splay, put, 16958
splay, delete, 45526
veb, put, 1291138
veb, delete, 1993374
bst, put, 1140341
bst, delete, 6207
avl, put, 2012618
avl, delete, 1494990
splay, put, 11784
splay, delete, 36650
veb, put, 1479114
veb, delete, 2085646
bst, put, 1054439
bst, delete, 4673
avl, put, 1465504
avl, delete, 1345104
splay, put, 11344
splay, delete, 35192
veb, put, 1269390
veb, delete, 1879421
bst, put, 1202313
bst, delete, 4742
avl, put, 1357059
avl, delete, 1320082
splay, put, 11324
splay, delete, 41723
veb, put, 1348106
veb, delete, 2200029
bst, put, 1045199
