structure, operation, time(ns)
bst, put, 16640084
bst, delete, 8891824
avl, put, 101120844
avl, delete, 29356163
splay, put, 37487699
splay, delete, 34702393
veb, put, 23385714
veb, delete, 1183711
bst, put, 1276182
bst, delete, 1414219
avl, put, 50655057
avl, delete, 18656869
splay, put, 17725144
splay, delete, 26450383
veb, put, 6514396
veb, delete, 1253888
bst, put, 1342644
bst, delete, 1478191
avl, put, 52458354
avl, delete, 21377959
splay, put, 10447650
splay, delete, 26527359
veb, put, 6716721
veb, delete, 1177105
bst, put, 1349803
bst, delete, 1322249
avl, put, 49881708
avl, delete, 16959618
splay, put, 9614451
splay, delete, 6977374
veb, put, 6065197
veb, delete, 168116
bst, put, 1283886
bst, delete, 488279
avl, put, 44951350
avl, delete, 15195241
splay, put, 1849347
splay, delete, 1233216
veb, put, 6082750
veb, delete, 22049
bst, put, 312026
bst, delete, 389536
avl, put, 42847614
avl, delete, 18334971
splay, put, 759951
splay, delete, 922517
veb, put, 6035423
veb, delete, 25695
bst, put, 319374
bst, delete, 444714
avl, put, 41187306
avl, delete, 8424953
splay, put, 627916
splay, delete, 870220
veb, put, 5489874
veb, delete, 16317
bst, put, 253902
bst, delete, 408984
avl, put, 38728127
avl, delete, 14877473
splay, put, 629475
splay, delete, 757843
veb, put, 5679124
veb, delete, 25615
bst, put, 307374
bst, delete, 333304
avl, put, 41244533
avl, delete, 15573793
splay, put, 836585
splay, delete, 853416
veb, put, 5616799
veb, delete, 22578
bst, put, 244032
bst, delete, 344014
avl, put, 39630608
avl, delete, 16760061
splay, put, 613035
splay, delete, 1103773
veb, put, 5981096
veb, delete, 33927
bst, put, 305701
bst, delete, 411831
avl, put, 41692812
avl, delete, 15742392
splay, put, 634794
splay, delete, 781213
veb, put, 5725083
veb, delete, 19284
bst, put, 321992
bst, delete, 325380
avl, put, 37524314
avl, delete, 18614622
splay, put, 747534
splay, delete, 877108
veb, put, 5479140
veb, delete, 16292
bst, put, 266927
bst, delete, 200984
avl, put, 38329809
avl, delete, 14705159
splay, put, 735366
splay, delete, 880943
veb, put, 5518445
veb, delete, 21574
bst, put, 247880
bst, delete, 238528
avl, put, 38700396
avl, delete, 8767208
splay, put, 616480
splay, delete, 848785
veb, put, 5529939
veb, delete, 21589
bst, put, 257856
bst, delete, 201304
avl, put, 38367620
avl, delete, 13640694
splay, put, 711655
splay, delete, 853249
veb, put, 5460545
veb, delete, 15909
bst, put, 273594
bst, delete, 186502
avl, put, 38736654
avl, delete, 14720188
splay, put, 629166
splay, delete, 791846
veb, put, 5324128
veb, delete, 25211
bst, put, 299031
bst, delete, 304134
avl, put, 37235224
avl, delete, 11582198
splay, put, 747082
splay, delete, 819614
veb, put, 5268190
veb, delete, 21666
bst, put, 303346
bst, delete, 339746
avl, put, 38710433
avl, delete, 12448285
splay, put, 701569
splay, delete, 794558
veb, put, 5573140
veb, delete, 15767
bst, put, 262207
bst, delete, 263162
avl, put, 39379782
avl, delete, 12630356
splay, put, 618244
splay, delete, 767081
veb, put, 5434456
veb, delete, 15900
bst, put, 252761
bst, delete, 420803
avl, put, 38553945
avl, delete, 6080483
splay, put, 617029
splay, delete, 761097
veb, put, 5268995
veb, delete, 21494
bst, put, 302290
bst, delete, 388758
avl, put, 37489484
avl, delete, 14743534
splay, put, 613052
splay, delete, 825524
veb, put, 5410034
veb, delete, 26549
bst, put, 254507
bst, delete, 273154
avl, put, 38174223
avl, delete, 11018111
splay, put, 617995
splay, delete, 762676
veb, put, 5260745
veb, delete, 16101
bst, put, 256743
bst, delete, 137147
avl, put, 37884304
avl, delete, 12159614
splay, put, 636500
splay, delete, 818802
veb, put, 5532300
veb, delete, 16093
bst, put, 256399
bst, delete, 340990
avl, put, 38384973
avl, delete, 16010270
splay, put, 699570
splay, delete, 761483
veb, put, 5431749
veb, delete, 16038
bst, put, 245059
bst, delete, 269972
avl, put, 37826257
avl, delete, 16624901
splay, put, 618020
splay, delete, 769874
veb, put, 5259362
veb, delete, 26980
bst, put, 285218
bst, delete, 361464
avl, put, 40860952
avl, delete, 17457699
splay, put, 729931
splay, delete, 913696
veb, put, 5872560
veb, delete, 15923
bst, put, 252988
bst, delete, 421958
avl, put, 38975071
avl, delete, 16136554
splay, put, 622561
splay, delete, 848447
veb, put, 5587385
veb, delete, 19183
bst, put, 370334
bst, delete, 433492
avl, put, 39245823
avl, delete, 8541117
splay, put, 613987
splay, delete, 760500
veb, put, 5421029
veb, delete, 15969
bst, put, 270115
bst, delete, 508467
avl, put, 37129230
avl, delete, 15874923
splay, put, 678251
splay, delete, 760925
veb, put, 5549557
veb, delete, 18835
bst, put, 287516
bst, delete, 394052
avl, put, 38366183
avl, delete, 14702564
splay, put, 621411
splay, delete, 922480
veb, put, 5449232
veb, delete, 15861
bst, put, 246488
bst, delete, 304640
avl, put, 37797948
avl, delete, 8295335
splay, put, 621888
splay, delete, 764744
veb, put, 5459055
veb, delete, 15757
bst, put, 273432
bst, delete, 285445
avl, put, 39406855
avl, delete, 16142112
splay, put, 632842
splay, delete, 900710
veb, put, 5695166
veb, delete, 24295
bst, put, 280963
bst, delete, 370693
avl, put, 38441675
avl, delete, 13533739
splay, put, 775058
splay, delete, 851272
veb, put, 5950506
veb, delete, 22320
bst, put, 309306
bst, delete, 448216
avl, put, 41391719
avl, delete, 14667987
splay, put, 751846
splay, delete, 929854
veb, put, 6079601
veb, delete, 35944
bst, put, 315687
bst, delete, 462729
avl, put, 42838977
avl, delete, 14509926
splay, put, 747437
splay, delete, 959205
veb, put, 6076860
veb, delete, 22488
bst, put, 292588
bst, delete, 477585
avl, put, 43495597
avl, delete, 13555789
splay, put, 754316
splay, delete, 915159
veb, put, 6075447
veb, delete, 22713
bst, put, 312036
bst, delete, 516340
avl, put, 42101729
avl, delete, 10010453
splay, put, 830516
splay, delete, 1038280
veb, put, 6078054
veb, delete, 40039
bst, put, 336252
bst, delete, 321517
avl, put, 40218285
avl, delete, 11241690
splay, put, 766444
splay, delete, 818882
veb, put, 5747084
veb, delete, 24857
bst, put, 321591
bst, delete, 271009
avl, put, 41069063
avl, delete, 16816598
splay, put, 627283
splay, delete, 891308
veb, put, 5638126
veb, delete, 19797
bst, put, 308152
bst, delete, 223317
avl, put, 39402149
avl, delete, 17409352
splay, put, 1024925
splay, delete, 1200492
veb, put, 6300365
veb, delete, 42326
bst, put, 380656
bst, delete, 421018
avl, put, 42989869
avl, delete, 10974557
splay, put, 640555
splay, delete, 814961
veb, put, 5627112
veb, delete, 28862
bst, put, 311508
bst, delete, 344830
avl, put, 45226589
avl, delete, 22567049
splay, put, 779731
splay, delete, 921203
veb, put, 6062950
veb, delete, 22154
bst, put, 294402
bst, delete, 412407
avl, put, 40968975
avl, delete, 17180635
splay, put, 787567
splay, delete, 856180
veb, put, 5991949
veb, delete, 19074
bst, put, 294815
bst, delete, 475864
avl, put, 43944579
avl, delete, 9324276
splay, put, 774296
splay, delete, 969951
veb, put, 6101183
veb, delete, 21600
bst, put, 309509
bst, delete, 349448
avl, put, 39346940
avl, delete, 14768063
splay, put, 710067
splay, delete, 877213
veb, put, 5478709
veb, delete, 16763
bst, put, 3401328
bst, delete, 391013
avl, put, 40863319
avl, delete, 14598992
splay, put, 746711
splay, delete, 765920
veb, put, 5388196
veb, delete, 19479
bst, put, 274445
bst, delete, 399533
avl, put, 37663440
avl, delete, 14168413
splay, put, 617797
splay, delete, 790995
veb, put, 5286946
veb, delete, 19147
bst, put, 318007
bst, delete, 383086
avl, put, 39369093
avl, delete, 13224835
splay, put, 644523
splay, delete, 777622
veb, put, 5272750
veb, delete, 19526
bst, put, 252815
bst, delete, 322510
avl, put, 36940403
avl, delete, 14097886
splay, put, 763454
splay, delete, 908482
veb, put, 5262469
veb, delete, 29476
bst, put, 311610
bst, delete, 370249
avl, put, 38307645
avl, delete, 8426725
splay, put, 745174
splay, delete, 914600
veb, put, 5268064
veb, delete, 24907
bst, put, 281017
bst, delete, 275967
avl, put, 38460883
avl, delete, 14690751
splay, put, 734791
splay, delete, 845435
veb, put, 5433772
veb, delete, 18870
bst, put, 261239
bst, delete, 384507
avl, put, 37462812
avl, delete, 8723989
splay, put, 623837
splay, delete, 776931
veb, put, 5361200
veb, delete, 26085
bst, put, 299415
bst, delete, 171087
avl, put, 40389678
avl, delete, 11493359
splay, put, 653602
splay, delete, 934350
veb, put, 5284382
veb, delete, 25024
bst, put, 269976
bst, delete, 273899
avl, put, 39690219
avl, delete, 17808802
splay, put, 644717
splay, delete, 849815
veb, put, 5934235
veb, delete, 25172
bst, put, 340518
bst, delete, 401739
avl, put, 43001507
avl, delete, 20226518
splay, put, 724638
splay, delete, 919244
veb, put, 6106721
veb, delete, 27325
bst, put, 329961
bst, delete, 460340
avl, put, 41228522
avl, delete, 8006255
splay, put, 635224
splay, delete, 769007
veb, put, 5673090
veb, delete, 35611
bst, put, 317465
bst, delete, 181269
avl, put, 39436706
avl, delete, 14254827
splay, put, 620521
splay, delete, 851560
veb, put, 5689835
veb, delete, 21713
bst, put, 289553
bst, delete, 303443
avl, put, 38985993
avl, delete, 15138205
splay, put, 629078
splay, delete, 769884
veb, put, 5638182
