structure, size, time(ns)
bst, 2^6, 34275
bst, 2^7, 38888
bst, 2^8, 43548
bst, 2^9, 42033
avl, 2^6, 27665
avl, 2^7, 36858
avl, 2^8, 40735
avl, 2^9, 38463
splay, 2^6, 133112
splay, 2^7, 147735
splay, 2^8, 182628
splay, 2^9, 165039
veb, 2^6, 768496
veb, 2^7, 749379
veb, 2^8, 852374
veb, 2^9, 783472
bst, 2^6, 28410
bst, 2^7, 32595
bst, 2^8, 37693
bst, 2^9, 41059
avl, 2^6, 38024
avl, 2^7, 36820
avl, 2^8, 40795
avl, 2^9, 45766
splay, 2^6, 175227
splay, 2^7, 230036
splay, 2^8, 263427
splay, 2^9, 185295
veb, 2^6, 878216
veb, 2^7, 819180
veb, 2^8, 944726
veb, 2^9, 840218
bst, 2^6, 32981
bst, 2^7, 37334
bst, 2^8, 42655
bst, 2^9, 48042
avl, 2^6, 33746
avl, 2^7, 35373
avl, 2^8, 34123
avl, 2^9, 38644
splay, 2^6, 132492
splay, 2^7, 144235
splay, 2^8, 168304
splay, 2^9, 138485
veb, 2^6, 719432
veb, 2^7, 748901
veb, 2^8, 878937
veb, 2^9, 842040
bst, 2^6, 26785
bst, 2^7, 31632
bst, 2^8, 36939
bst, 2^9, 40695
avl, 2^6, 26469
avl, 2^7, 31024
avl, 2^8, 47052
avl, 2^9, 38356
splay, 2^6, 128163
splay, 2^7, 146852
splay, 2^8, 163478
splay, 2^9, 139476
veb, 2^6, 718821
veb, 2^7, 887604
veb, 2^8, 938591
veb, 2^9, 916485
bst, 2^6, 31618
bst, 2^7, 37636
bst, 2^8, 42653
bst, 2^9, 48454
avl, 2^6, 31297
avl, 2^7, 36534
avl, 2^8, 40913
avl, 2^9, 45641
splay, 2^6, 154229
splay, 2^7, 171966
splay, 2^8, 193381
splay, 2^9, 164940
veb, 2^6, 868091
veb, 2^7, 917074
veb, 2^8, 925189
veb, 2^9, 829903
bst, 2^6, 33188
bst, 2^7, 37503
bst, 2^8, 42441
bst, 2^9, 47761
avl, 2^6, 31550
avl, 2^7, 36567
avl, 2^8, 34199
avl, 2^9, 46609
splay, 2^6, 158283
splay, 2^7, 174824
splay, 2^8, 188918
splay, 2^9, 139571
veb, 2^6, 719770
veb, 2^7, 901165
veb, 2^8, 779628
veb, 2^9, 880672
bst, 2^6, 27400
bst, 2^7, 31266
bst, 2^8, 35317
bst, 2^9, 40547
avl, 2^6, 26371
avl, 2^7, 30877
avl, 2^8, 34348
avl, 2^9, 38697
splay, 2^6, 131261
splay, 2^7, 145823
splay, 2^8, 159746
splay, 2^9, 138951
veb, 2^6, 793650
veb, 2^7, 760312
veb, 2^8, 901926
veb, 2^9, 770250
bst, 2^6, 27798
bst, 2^7, 31417
bst, 2^8, 36131
bst, 2^9, 39950
avl, 2^6, 26162
avl, 2^7, 30834
avl, 2^8, 34032
avl, 2^9, 40691
