structure, size, time(ns)
bst, 2^8, 25293
bst, 2^9, 25055
bst, 2^10, 21119
bst, 2^11, 19921
avl, 2^8, 19326
avl, 2^9, 20879
avl, 2^10, 24793
avl, 2^11, 26584
splay, 2^8, 10705
splay, 2^9, 11003
splay, 2^10, 10967
splay, 2^11, 12724
veb, 2^8, 1571700
veb, 2^9, 1533603
veb, 2^10, 1465465
veb, 2^11, 1506642
bst, 2^8, 20244
bst, 2^9, 19928
bst, 2^10, 19843
bst, 2^11, 19827
avl, 2^8, 19397
avl, 2^9, 21936
avl, 2^10, 25264
avl, 2^11, 46691
splay, 2^8, 16058
splay, 2^9, 14901
splay, 2^10, 10919
splay, 2^11, 12731
veb, 2^8, 1541295
veb, 2^9, 1571954
veb, 2^10, 1587064
veb, 2^11, 1546410
bst, 2^8, 24664
bst, 2^9, 21471
bst, 2^10, 19932
bst, 2^11, 31006
avl, 2^8, 23825
avl, 2^9, 21610
avl, 2^10, 26191
avl, 2^11, 33875
splay, 2^8, 12607
splay, 2^9, 12569
splay, 2^10, 12664
splay, 2^11, 10725
veb, 2^8, 1434603
veb, 2^9, 1528851
veb, 2^10, 1579797
veb, 2^11, 1410375
bst, 2^8, 21210
bst, 2^9, 19894
bst, 2^10, 19853
bst, 2^11, 20359
avl, 2^8, 23611
avl, 2^9, 25502
avl, 2^10, 25669
avl, 2^11, 29759
splay, 2^8, 10584
splay, 2^9, 10577
splay, 2^10, 10611
splay, 2^11, 12750
veb, 2^8, 1453962
veb, 2^9, 1468040
veb, 2^10, 1521787
veb, 2^11, 1540606
bst, 2^8, 24430
bst, 2^9, 27809
bst, 2^10, 19882
bst, 2^11, 19851
avl, 2^8, 19922
avl, 2^9, 22701
avl, 2^10, 25098
avl, 2^11, 34098
splay, 2^8, 10551
splay, 2^9, 12803
splay, 2^10, 13053
splay, 2^11, 10703
veb, 2^8, 1573681
veb, 2^9, 1502426
veb, 2^10, 1447957
veb, 2^11, 1524728
bst, 2^8, 30021
bst, 2^9, 29855
bst, 2^10, 29820
bst, 2^11, 25106
avl, 2^8, 21961
avl, 2^9, 21548
avl, 2^10, 24684
avl, 2^11, 31645
splay, 2^8, 12701
splay, 2^9, 12580
splay, 2^10, 11142
splay, 2^11, 10640
veb, 2^8, 1606357
veb, 2^9, 1664999
veb, 2^10, 1674031
veb, 2^11, 1682086
bst, 2^8, 24600
bst, 2^9, 23653
bst, 2^10, 23538
bst, 2^11, 23571
avl, 2^8, 23008
avl, 2^9, 24701
avl, 2^10, 30048
avl, 2^11, 29280
splay, 2^8, 10589
splay, 2^9, 10657
splay, 2^10, 12861
splay, 2^11, 10961
veb, 2^8, 1584776
veb, 2^9, 1551790
veb, 2^10, 1488329
veb, 2^11, 1425880
bst, 2^8, 25292
bst, 2^9, 23614
bst, 2^10, 23563
bst, 2^11, 23546
avl, 2^8, 25155
avl, 2^9, 21830
avl, 2^10, 31598
avl, 2^11, 34880
splay, 2^8, 12421
splay, 2^9, 12748
splay, 2^10, 12736
splay, 2^11, 10775
veb, 2^8, 1521531
veb, 2^9, 1520391
veb, 2^10, 1557025
veb, 2^11, 1404550
bst, 2^8, 19948
bst, 2^9, 19909
bst, 2^10, 19572
bst, 2^11, 23132
avl, 2^8, 22895
avl, 2^9, 24588
avl, 2^10, 29491
avl, 2^11, 29457
splay, 2^8, 10767
splay, 2^9, 10721
splay, 2^10, 10911
splay, 2^11, 13253
veb, 2^8, 1599693
veb, 2^9, 1607816
veb, 2^10, 1584902
veb, 2^11, 1402759
bst, 2^8, 19936
bst, 2^9, 19374
bst, 2^10, 20078
bst, 2^11, 19453
avl, 2^8, 19418
avl, 2^9, 26243
avl, 2^10, 29201
avl, 2^11, 29100
splay, 2^8, 10756
splay, 2^9, 10803
splay, 2^10, 11188
splay, 2^11, 10913
veb, 2^8, 1571424
veb, 2^9, 1404600
veb, 2^10, 1437184
veb, 2^11, 1590846
bst, 2^8, 23295
bst, 2^9, 24178
