structure, size, time(ns)
bst, 2^6, 122564
bst, 2^7, 141471
bst, 2^8, 167217
bst, 2^9, 191592
avl, 2^6, 116623
avl, 2^7, 192246
avl, 2^8, 135868
avl, 2^9, 153883
splay, 2^6, 506392
splay, 2^7, 608758
splay, 2^8, 677379
splay, 2^9, 707260
veb, 2^6, 2255287
veb, 2^7, 1502485
veb, 2^8, 1652259
veb, 2^9, 1775840
bst, 2^6, 67685
bst, 2^7, 78156
bst, 2^8, 90806
bst, 2^9, 109851
avl, 2^6, 50175
avl, 2^7, 57565
avl, 2^8, 85134
avl, 2^9, 76678
splay, 2^6, 249669
splay, 2^7, 294027
splay, 2^8, 331431
splay, 2^9, 404510
veb, 2^6, 1516981
veb, 2^7, 1663768
veb, 2^8, 1764795
veb, 2^9, 1698951
bst, 2^6, 56630
bst, 2^7, 65711
bst, 2^8, 88262
bst, 2^9, 102462
avl, 2^6, 60318
avl, 2^7, 67709
avl, 2^8, 64250
avl, 2^9, 77169
splay, 2^6, 251747
splay, 2^7, 296041
splay, 2^8, 332889
splay, 2^9, 348942
veb, 2^6, 1620166
veb, 2^7, 1687225
veb, 2^8, 1823716
veb, 2^9, 1880292
bst, 2^6, 53442
bst, 2^7, 62122
bst, 2^8, 74955
bst, 2^9, 82713
avl, 2^6, 51830
avl, 2^7, 62006
avl, 2^8, 88840
avl, 2^9, 79667
splay, 2^6, 247211
splay, 2^7, 291316
splay, 2^8, 335824
splay, 2^9, 348407
veb, 2^6, 1612077
veb, 2^7, 1682731
veb, 2^8, 1657132
veb, 2^9, 1758914
bst, 2^6, 55296
bst, 2^7, 65712
bst, 2^8, 76094
bst, 2^9, 87041
avl, 2^6, 53209
avl, 2^7, 59505
avl, 2^8, 66464
avl, 2^9, 80783
splay, 2^6, 251109
splay, 2^7, 291094
splay, 2^8, 332093
splay, 2^9, 348070
veb, 2^6, 1465426
veb, 2^7, 1749386
veb, 2^8, 1682989
veb, 2^9, 1689421
bst, 2^6, 56406
bst, 2^7, 66116
bst, 2^8, 76136
bst, 2^9, 86850
avl, 2^6, 53498
avl, 2^7, 59226
avl, 2^8, 66647
avl, 2^9, 92984
splay, 2^6, 296911
splay, 2^7, 331139
splay, 2^8, 394788
splay, 2^9, 418889
veb, 2^6, 1488590
veb, 2^7, 1625129
veb, 2^8, 1632207
veb, 2^9, 1869243
bst, 2^6, 54326
bst, 2^7, 63929
bst, 2^8, 72365
bst, 2^9, 82524
avl, 2^6, 51096
avl, 2^7, 58216
avl, 2^8, 66644
avl, 2^9, 77083
splay, 2^6, 254236
splay, 2^7, 294332
splay, 2^8, 396813
splay, 2^9, 422653
veb, 2^6, 1459219
veb, 2^7, 1703020
veb, 2^8, 1594987
veb, 2^9, 1900259
bst, 2^6, 64771
bst, 2^7, 73741
bst, 2^8, 85873
bst, 2^9, 100122
avl, 2^6, 65316
avl, 2^7, 58575
